filename,width,depth,auxiliary,seed,accuracy,student_loss_teacher,student_acc_5hot
results_Hidden128_Depth1_Auxiliary10_seed1.pt,128,1,10,1,0.7578125,1.1995171308517456,0.9296875
results_Hidden128_Depth1_Auxiliary10_seed2.pt,128,1,10,2,0.765625,1.2111396789550781,0.984375
results_Hidden128_Depth1_Auxiliary10_seed3.pt,128,1,10,3,0.6875,1.2055951356887817,0.984375
results_Hidden128_Depth1_Auxiliary10_seed4.pt,128,1,10,4,0.7734375,1.4312905073165894,0.9453125
results_Hidden128_Depth1_Auxiliary50_seed0.pt,128,1,50,0,0.8515625,0.7690683603286743,0.9921875
results_Hidden128_Depth1_Auxiliary50_seed1.pt,128,1,50,1,0.8359375,0.7206830978393555,0.9921875
results_Hidden128_Depth1_Auxiliary50_seed2.pt,128,1,50,2,0.8125,0.7915759682655334,0.9921875
results_Hidden128_Depth1_Auxiliary50_seed3.pt,128,1,50,3,0.8671875,0.6810371279716492,1.0
results_Hidden128_Depth1_Auxiliary50_seed4.pt,128,1,50,4,0.8515625,0.6974345445632935,1.0
results_Hidden128_Depth1_Auxiliary100_seed0.pt,128,1,100,0,0.8359375,0.7639821767807007,1.0
results_Hidden128_Depth1_Auxiliary100_seed1.pt,128,1,100,1,0.84375,0.7391623258590698,0.9921875
results_Hidden128_Depth1_Auxiliary100_seed2.pt,128,1,100,2,0.8515625,0.7779924273490906,0.9921875
results_Hidden128_Depth1_Auxiliary100_seed3.pt,128,1,100,3,0.8671875,0.6834821701049805,1.0
results_Hidden128_Depth1_Auxiliary100_seed4.pt,128,1,100,4,0.8984375,0.7614541053771973,1.0
results_Hidden128_Depth1_Auxiliary1000_seed0.pt,128,1,1000,0,0.8828125,0.7203513383865356,1.0
results_Hidden128_Depth1_Auxiliary1000_seed1.pt,128,1,1000,1,0.828125,0.7037097215652466,0.9921875
results_Hidden128_Depth1_Auxiliary1000_seed2.pt,128,1,1000,2,0.8671875,0.7775058150291443,0.9921875
results_Hidden128_Depth1_Auxiliary1000_seed3.pt,128,1,1000,3,0.8515625,0.7174493074417114,1.0
results_Hidden128_Depth1_Auxiliary1000_seed4.pt,128,1,1000,4,0.8828125,0.738878607749939,1.0
